"KPIs","3-Port L3 Station (50 kW Max per port) ",1,2,3,4,5,6,7,8,9
"Installation cost ($)",0,20000,40000,60000,80000,100000,120000,140000,160000,180000
"Installation cost ($)",1,95000,115000,135000,155000,175000,195000,215000,235000,255000
"Installation cost ($)",2,170000,190000,210000,230000,250000,270000,290000,310000,330000
"Waiting time (hours)",0,6599,3662,1143,487,107,15,0,0,0
"Waiting time (hours)",1,1064,265,61,15,0,0,0,0,0
"Waiting time (hours)",2,152,61,30,0,0,0,0,0,0
"Peak demand (kW)",0,14,28,42,56,70,84,91,91,91
"Peak demand (kW)",1,164,178,192,206,206,206,206,206,206
"Peak demand (kW)",2,314,328,342,356,356,356,356,356,356
"Utilization rate",0,0.9,0.77,0.56,0.48,0.43,0.36,0.31,0.27,0.24
"Utilization rate",1,0.6,0.5,0.42,0.35,0.3,0.26,0.23,0.2,0.18
"Utilization rate",2,0.42,0.35,0.3,0.26,0.23,0.2,0.18,0.16,0.15
